Date,Close,High,Low,Open,Volume,MA_20,MA_50,MA_100,Trend,Momentum,Returns,Volatility,Signal
2025-05-02,431.9729919433594,436.1013902925972,426.7231738378541,428.4598783453456,30757400,380.39286651611326,383.93177001953126,404.00026550292966,False,43.100006103515625,0.023225185803004367,0.033906907994630336,0
2025-05-05,432.8562622070313,436.1609495915282,428.8270797245025,429.58131540385136,20136100,384.1803726196289,384.4867224121094,403.9356372070313,False,44.66806030273443,0.0020447349258996272,0.032355595390771624,0
2025-05-06,430.0179138183594,434.40434608152555,427.89418827142663,428.91636160877,15104200,387.92420959472656,385.06846801757814,403.81835998535155,False,38.971588134765625,-0.006557253842649491,0.032383289422603226,1
2025-05-07,430.0576477050781,434.79139692835327,427.8346454163338,430.54391525930873,23295300,391.8337799072266,385.7720819091797,403.7281225585937,False,37.80062866210943,9.240053830761319e-05,0.03215711755614045,1
2025-05-08,434.8410339355469,440.2992479012544,432.3500938706748,434.6028367318432,23491300,394.1996673583984,386.5350408935547,403.62966094970704,False,12.6729736328125,0.01112266287088337,0.02406127427835664,1
2025-05-09,435.3967590332031,437.3914674607305,432.5684058555715,436.6570993033328,15324200,397.04687042236327,387.45202087402345,403.5311117553711,False,3.42376708984375,0.0012779959899980042,0.023084220923506774,1
2025-05-12,445.8467712402344,445.9559209816134,436.43878433354007,442.551987565255,22821900,400.06427001953125,388.4894781494141,403.55974334716797,False,12.990509033203068,0.02400112538787713,0.023254122693538513,1
2025-05-13,445.7277221679687,447.24609694771215,441.9764112331301,444.37803887168343,23618800,403.1074752807617,389.69326354980467,403.5443978881836,False,15.709808349609318,-0.00026701790827043936,0.02322741634648505,1
2025-05-14,449.498779296875,450.45147719255016,444.7352595327789,444.7352595327789,19902800,406.4424423217773,390.97008911132815,403.5383383178711,True,19.441131591796875,0.008460450049111445,0.023025566879555998,1
2025-05-15,450.512939453125,453.55526390744575,447.8285212445723,448.1665539237944,21992300,410.52875366210935,392.02088256835935,403.7114840698242,True,15.671905517578125,0.0022562022478378463,0.020541417352217827,1
2025-05-16,451.6463317871094,451.73580834700897,446.1383501578063,449.4391522856184,23849800,414.86177825927734,393.1763153076172,403.89952972412107,True,16.24957275390625,0.002515781978116305,0.020060429709334436,1
2025-05-19,456.2197570800781,456.9355998797858,448.1963586877965,448.27591363294266,21336500,419.85318450927736,394.4942736816406,404.137568359375,True,10.37298583984375,0.010126120752209422,0.018358579662509318,1
2025-05-20,455.5238342285156,455.69283539558984,451.69606398891386,452.9587181303489,15441800,424.42772216796874,396.0593151855469,404.3820181274414,True,9.796112060546932,-0.001525411472787952,0.018492795546536912,1
